id,login,BordaCount,orgMemberAuthoritySumNum,orgMemberFollowerSumNum,orgMemberPRSumNum,12MonthActivityNum,ForkedPRedHindex,WatcherHindex
69,"heroku",6,29,27,17,237,17,21
142,"github",4,3,1,1,291,17,17
159,"angular",25,36,51,80,302,15,15
705,"joyent",44,68,96,63,298,24,38
1146,"mozilla",3,6,25,15,104,6,5
1889,"LearnBoost",31,69,18,16,352,29,55
2156,"facebook",7,4,7,6,332,4,2
2206,"jenkinsci",5,8,105,59,139,7,24
2997,"adobe",74,80,123,105,345,29,49
3797,"emberjs",99,144,139,104,348,22,53
4066,"Shopify",61,30,195,197,197,23,31
4091,"CyanogenMod",29,44,135,79,175,30,51
4174,"h5bp",22,26,6,5,352,24,73
5092,"twitter",8,10,9,7,343,14,7
6691,"travis-ci",39,60,71,55,322,22,45
7161,"django",82,101,124,89,349,34,65
8137,"rails",14,21,12,11,349,13,30
8274,"square",15,46,23,14,329,16,9
8950,"html5rocks",38,82,14,20,352,33,73
10316,"libgit2",47,78,54,32,352,26,60
10833,"senchalabs",50,114,31,27,352,29,61
10963,"thoughtbot",20,22,58,53,299,12,13
13369,"apache",11,12,111,114,178,2,3
14224,"jquery",13,14,5,4,351,16,44
16990,"soundcloud",72,57,137,130,328,29,44
16997,"codeforamerica",43,47,101,74,298,23,41
19222,"CocoaPods",30,23,29,29,344,33,66
24147,"Khan",58,96,107,72,311,27,49
25694,"Automattic",57,24,176,157,258,15,18
27058,"w3c",55,55,165,126,249,20,29
29218,"mapbox",85,88,256,223,169,20,11
29250,"Modernizr",68,188,35,40,352,31,67
30428,"dotcloud",67,98,79,69,352,35,73
36348,"cloudfoundry",75,28,221,150,275,16,45
41881,"yeoman",16,20,4,8,352,17,38
42468,"zeromq",32,79,36,31,348,18,35
44511,"rubinius",24,27,26,10,336,32,66
50765,"ruby",52,58,76,50,346,28,61
54566,"luna",90,271,44,37,329,34,72
56281,"alibaba",33,33,53,118,317,24,15
60733,"GoogleChrome",10,32,11,13,315,25,22
60798,"gruntjs",66,132,73,94,351,14,33
63120,"rubygems",84,97,119,110,352,27,61
64638,"nko2",81,92,114,96,352,34,70
70246,"mootools",92,173,116,52,352,31,66
72081,"NYTimes",77,183,77,75,335,26,45
76630,"component",17,19,3,3,352,26,38
82847,"rack",87,181,93,44,352,32,73
95143,"google",2,1,2,2,146,7,1
96752,"diveintomark",100,268,42,42,352,33,73
121425,"segmentio",9,77,33,28,222,22,26
163860,"nko",51,52,72,39,350,35,69
199513,"railsrumble",69,17,112,133,352,33,69
209818,"TasteJS",59,138,32,48,352,30,62
348962,"WebComponents",41,93,19,43,343,30,52
383118,"nko3",97,56,146,142,352,34,69
468550,"components",23,41,8,9,348,29,61
666178,"whatwg",89,112,133,107,350,28,53
726701,"sass",93,229,65,61,350,25,60
825744,"robohornet",88,261,28,33,352,35,73
934370,"ot-crew",34,64,21,21,352,34,71
962877,"g0v",94,83,173,169,288,29,50
1007812,"GoogleCloudPlatform",19,16,60,83,261,20,14
1110689,"Atom",18,37,24,26,325,14,20
1266743,"aurajs",76,193,39,57,352,32,67
1349067,"coderwall-charity",46,9,57,68,352,35,73
1349070,"coderwall-forked",62,15,92,112,352,35,73
1349077,"coderwall-polygamous",65,13,102,117,352,35,73
1440501,"Octokit",96,148,104,87,352,31,73
1526294,"hackerschool",86,38,138,139,350,34,69
1981956,"Polymer",48,100,47,71,330,20,35
2057636,"golang",95,111,140,129,351,26,36
2076293,"tc39",60,121,75,62,334,30,49
2169090,"UnicornConf",79,203,34,51,352,35,73
2297090,"koajs",26,65,20,25,346,25,30
2566919,"nodeschool",12,11,10,12,312,28,50
2655868,"clibs",54,130,41,35,348,32,56
2671072,"reworkcss",36,86,17,24,352,30,59
2727156,"expressjs",27,61,15,22,350,23,40
2751658,"slate",98,266,43,36,352,33,73
2998313,"cojs",53,123,30,30,352,32,64
3142439,"tooling",83,210,37,56,352,34,73
3263869,"reactjs",35,62,49,46,347,20,40
3328655,"basecamp",91,166,115,88,340,27,52
3352260,"ReactiveX",73,211,62,41,348,25,41
3497088,"18F",21,31,166,135,75,23,33
3565887,"PolymerLabs",63,165,48,70,323,29,46
3667417,"android-cn",71,118,38,111,352,32,73
3681780,"Azure",28,7,186,156,132,15,17
3815374,"EpicGames",45,5,59,67,352,35,73
3886902,"Microsoft",1,2,16,19,31,13,4
4438683,"googlesamples",56,137,52,103,318,27,8
4778499,"node-forward",64,67,82,81,352,32,67
5125156,"todogroup",70,190,50,34,348,33,68
6075574,"iojs",37,25,46,58,352,34,55
7012147,"babel",42,81,40,45,342,25,48
7171535,"grpc",78,198,63,47,348,28,62
7523540,"recursecenter",49,18,74,65,352,33,70
7613658,"PolymerElements",80,189,56,97,340,21,48
31569729,"yarnpkg",40,91,13,18,347,35,73
